Observation id	stamp.fairtex_kai.ting.chuang							
								
Media file(s)								
								
Player #1	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4							
								
Observation date	2019-06-03 23:49:18							
								
Description	06102018_kingdom.of.heros_super.series.kickboxing.atomweight.world.championship_title_atsushi.onari							
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
629.242	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
634.746	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
641.741	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
644.245	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
655.244	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
658.992	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
663.494	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
669.241	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
696.741	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
701.993	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
