Observation id	giorgio_petrosyan.petchmorakot_petchindee_accademy									
										
Media file(s)										
										
Player #1	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov									
										
Observation date	2019-05-17 16:54:55									
										
Description	quarter of final of Kickboxing World Grand Prix. Singapore. 									
										
Time offset (s)	0.0									
										
independent variables										
variable	value									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
175.185	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
176.673	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
177.171	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
178.172	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
178.424	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
181.172	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		front_middle	kicks	None	landed		POINT
183.937	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
184.172	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
187.423	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	landed		POINT
193.172	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
196.922	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		front_middle	kicks	None	landed		POINT
198.437	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	landed		POINT
201.921	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
202.674	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
203.671	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
206.673	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		low_low	kicks	back	landed		POINT
207.423	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
